# capability-parity.tsv — one row per STAGED-LANE CAPABILITY, with its recorded disposition.
#
# TAB-separated. Columns:
#   capability <TAB> staged implementation path(s) <TAB> disposition <TAB> lean home / decision note
#
# WHY THIS EXISTS: #348 deletes the staged lane, and its parity story is per-ARTIFACT (an orphan
# check keyed on deleted paths). A behavior whose only implementation lives inside a stage doc is
# therefore deletable with nothing red and no record that the deletion was a decision. This file
# is that record, and tools/capability-parity-check.sh is what makes #348's deletions answerable
# to it.
#
# REGISTER-WORTHY iff removing the behavior changes what a CONSUMER RUN produces or verifies — an
# artifact, a gate verdict, a review dimension — as opposed to how the run choreographs itself.
# Rows are behavior-level, not file-level: one capability may be implemented by a stage doc plus
# several tools and workflow scripts, and the path cell enumerates ALL of them, so a tools-file
# deletion is covered via its owning behavior.
#
# DISPOSITION ENUM (closed, four values):
#   ported          the behavior has a lean implementation that is not the staged one
#   already-covered a lean-native home already provides it; the note names that home
#   dropped         a real capability deliberately given no lean home; the note says where a
#                   consumer that wants it goes instead
#   choreography    dies with the stages BY NATURE (stage-progression bookkeeping). The parent's
#                   rule requires that death to be a RECORDED decision, which is why this is a
#                   first-class machine-readable value and not a synonym for `dropped`.
#
# ROWS ARE PERMANENT RECORD. A row is never removed when its staged paths die — the whole point is
# that the disposition outlives the implementation. The guard's stages-file coverage clause becomes
# vacuous once #348 lands, by design; the shape/enum lint does not.
#
# SEEDED vs PROPOSED: four rows carry dispositions settled at intake (mutation gate, visual
# capture, doc update, design-fidelity + a11y routing). Every other row was proposed by the
# stage-1..10 walk and ratified by review at the PR that introduced it.
#
# CONFIG-KEY CONSEQUENCES ride in the note cell (unitTestScope, gates.mutation, testFile,
# stageParams.visualCapture, stageParams.inertPattern, planGates, implementDelegates) so the
# config-schema assessment can execute retirement under the dead-key pattern. No key is retired
# HERE — this file records the fate, the retirement happens in the schema and config-lint.
# Executed so far: stageParams.visualCapture (#348); stageWorkflows, implementDelegates and
# planGates (#569). The `dropped` rows below keep their disposition and now name the PR that
# carried it out, so a reader can tell a proposal from a completed retirement.
#
# ---- stage 1: intake ----
additive plan gates (planGates)	plugins/dev-pipeline/skills/run/stages/4-plan-review.md, plugins/dev-pipeline/skills/run/workflows/plan-review.mjs	dropped	Config key `planGates` has no lean reader. Lean's extension seam is `extraLanes`, which adds VERIFY lanes at milestone 3; there is no additive plan-gate seam because there is no plan gate to be additive to. RETIRED in #569: the key is out of the schema and config-lint rejects it by name; the shape survives as a design record in docs/extending.md §3.8.
# ---- stage 5: implement ----
unit-test mutation gate	plugins/dev-pipeline/skills/run/stages/3-write-plan.md, plugins/dev-pipeline/skills/run/stages/4-plan-review.md, plugins/dev-pipeline/skills/run/stages/5-implement.md, plugins/dev-pipeline/skills/run/workflows/mutation-gate.mjs, plugins/dev-pipeline/skills/run/workflows/unit-tests.mjs	dropped	CORRECTED (#574): `ported` overstated this. tools/mutation-sweep.sh mutates SHELL GUARDS; it is not the LLM-proposed-mutants-over-co-located-unit-tests capability mutation-gate.mjs implements, and mutation-gate.mjs has had no dispatcher since #348 deleted stages/5-implement.md. The consumer-facing half of that gap is #482. Tracked in #574. Original note follows: SEEDED. Ported to the repo-carried tools/mutation-sweep.sh seam: lean-gate.sh's D-18 block is the executor (`bash tools/mutation-sweep.sh --mode pr --base origin/<baseBranch>`; rc!=0 reds milestone-3), running when the target repo carries the sweep and skipping with a notice when it does not. A starter recipe for consumer repos whose mutation surface is co-located unit tests is deliberately out of scope here (follow-up candidate). Config keys `unitTestScope`, `gates.mutation` and `testFile` have zero readers under lean — retirement candidates for #348.
implementer delegation (implementDelegates)	plugins/dev-pipeline/skills/run/stages/5-implement.md	dropped	Lean is outcome-gated and silent on HOW the diff is produced, so a session may dispatch the same delegate agent by choice. What has no lean home is the declared mechanism: config-routed surface->agent matching with a pre-flight fail-closed resolution check. Config key `implementDelegates` was RETIRED in #569: out of the schema, rejected by name at config-lint, shape kept as a design record in docs/extending.md §3.7. What a session chooses to dispatch is unaffected; the declared, pre-flight-validated routing is what is gone.
design-faithful implement and live-render verify	plugins/dev-pipeline/skills/run/stages/5-implement.md, plugins/dev-pipeline/skills/run/workflows/design-sync.mjs, plugins/dev-pipeline/skills/run/workflows/figma.mjs	dropped	CORRECTED (#574): milestone 3's render lane runs the configured design.liveRender.command and is a real gate, but it does NOT dispatch design-sync.mjs or figma.mjs — those engines have no caller since #348. What is covered is the render RECEIPT, not the design-faithful implement engine. Tracked in #574. Original note follows: Milestone 3's render lane is the lean home and is strictly stronger: it runs config `design.liveRender.command` per RS-n row, hashes the PNGs into a committed receipt, refuses an armed spec with no configured harness, and (milestone 4) refuses a receipt whose rendered_from no longer matches the branch. The staged gate degraded to a non-blocking `render-verify-unavailable` when unconfigured.
# ---- stage 6: verify ----
deterministic verify green gate	plugins/dev-pipeline/skills/run/stages/6-verify.md, plugins/dev-pipeline/skills/run/verifyctl.sh	already-covered	Milestone 3 runs the config commands table directly — setup lanes, lint, typecheck, test, extraLanes with the same `when` glob dialect, the same SEAM_SCRUB env hermeticity (pinned verbatim in scripts/lockstep-manifest.tsv), and a fix budget of 3 attempts per milestone with a hard stop at rc=4 in place of verifyctl's per-class budget and circuit breaker.
INERT-diff lane	plugins/dev-pipeline/skills/run/stages/6-verify.md, plugins/dev-pipeline/skills/run/tools/is-inert-diff.sh	dropped	Deliberate, and stated as such in lean-gate.sh's milestone-3 header: no inert lane, because in a repo whose diffs are mostly shell and markdown the lane would skip the suite on exactly the changes that need it most. is-inert-diff.sh itself survives — the pre-commit type-check hook and config-grill.sh both read it — so only the verify-lane skip dies. Config key `stageParams.inertPattern` is a retirement candidate for #348.
post-green quality pass	plugins/dev-pipeline/skills/run/stages/6-verify.md	dropped	No lean counterpart: nothing in build-lean/ runs an advisory cleanup pass, and there is no once-per-run guard, apply-scope rule or safety-net re-verify. Reuse/simplification findings reach the lean lane through the review half instead, as ordinary review findings a fix round addresses.
visual capture	plugins/dev-pipeline/skills/run/stages/6-verify.md	dropped	SEEDED. Smoke-route screenshots die with the stages as choreography would, but this is a recorded drop of a real capability, not a choreography death. `extraLanes` is the documented home for a consumer-carried screenshot lane. Config key `stageParams.visualCapture.*` is a retirement candidate for #348.
# ---- stage 7: doc update ----
doc update	plugins/dev-pipeline/skills/run/stages/7-doc-update.md, plugins/dev-pipeline/skills/run/doc-update.md	dropped	SEEDED. The review-toolkit:doc-updater agent survives independently and stays on-demand; a consumer wanting a mandatory check wires it via `extraLanes` or review policy. Lean's own obligation is the AC-scoped one: a change that makes docs stale needs an explicit doc AC-n.
plan-vs-diff scope-drift gate	plugins/dev-pipeline/skills/run/stages/7-doc-update.md, plugins/dev-pipeline/skills/run/tools/plan-scope-paths.sh	dropped	No lean mechanical reconciliation of changed files against the spec's affected/out-of-scope path lists. The lean analog is judgment at the merge boundary: review-lean scores each AC-n against the diff and treats a spec amended after the fact to match the diff as itself a blocker.
deviations ledger	plugins/dev-pipeline/skills/run/stages/7-doc-update.md, plugins/dev-pipeline/skills/run/stages/8-code-review.md	dropped	The structured {kind, planSection, file, note} ledger with its closed kind enum has no lean reader. Lean's disclosure channel is narrower and differently shaped: the P9 intent-gap record (schema in intake-toolkit:interviewing-baseline), which check-lean-chain.sh refuses when `ratified: no`, plus whatever the PR body discloses. A plan-vs-diff divergence that is not also an unratified decision has no gated home.
# ---- stage 8: code review ----
code-review fan-out panel and bounded round loop	plugins/dev-pipeline/skills/run/stages/8-code-review.md, plugins/dev-pipeline/skills/run/workflows/code-review.mjs	already-covered	review-lean is the lean home and review-lead is its stated implementation. The rounds round-trip through committed artifacts instead of an in-session loop, and lean-gate.sh binds each verdict to a reviewed_patch_id with an inheritance chain, so a later round reads the delta rather than re-reading the branch. The round loop's BOUND is a separate capability and is dispositioned separately in the next row — what is already-covered here is the fan-out and the round-trip, not what exhausting the cap produces.
review-exhaustion handoff artifacts	plugins/dev-pipeline/skills/run/stages/8-code-review.md, plugins/dev-pipeline/skills/run/stages/9-open-pr.md, plugins/dev-pipeline/skills/run/statectl.sh	dropped	The 3-round cap's terminal path applies the `needs-deep-review` label, writes `codeReviewExhausted` to state, and renders an **Outstanding Review Blockers** section into the PR body — plus the two sibling short-circuits that reuse it (scope-blocker-no-code-remedy, review-void-zero-coverage). Those are consumer-visible produced artifacts: a label and a PR section telling a human the diff shipped with blockers nobody cleared. Lean has no reader for any of the three tokens and neither SKILL declares a round cap — a lean run simply keeps spending rounds. A consumer that wants the signal wires it as repository policy on the PR (label + required review), not in the lane. Distinct from the voided-round row below, which covers the DARK panel and is stricter under lean.
design-fidelity and a11y reviewer routing	plugins/dev-pipeline/skills/run/stages/8-code-review.md	already-covered	SEEDED. plugins/review-toolkit/skills/review-lead/SKILL.md reads `stageParams.webComponentGlobs` itself, lean reaches review-lead through the review half, and lean-gate.sh carries a `--fidelity` verdict flag that milestone 4 requires to be `pass` on an armed run.
dark-reviewer and voided-round handling	plugins/dev-pipeline/skills/run/stages/8-code-review.md, plugins/dev-pipeline/skills/run/workflows/code-review.mjs	already-covered	review-lean step 5c is the lean contract and is stricter: an all-dark panel is handed back with NO verdict record written and the round not spent, and check-lean-chain.sh treats an absent record as already a violation, so a voided round cannot merge.
scope-completeness gate	plugins/dev-pipeline/skills/run/stages/8-code-review.md	already-covered	review-lean scores every numbered AC-n in the committed spec as satisfied / unsatisfied / undeterminable and treats any unmet AC-n as a blocker. review-toolkit:scope-completeness-reviewer survives as an agent review-lead may select.
consolidated report as a code-host artifact	plugins/dev-pipeline/skills/run/stages/8-code-review.md	already-covered	review-lean step 8 posts the findings as one PR comment through the bot wrapper, and step 6/7 commit the verdict record to the branch — a stronger version of the same property, since the record is what milestone 4 and the merge boundary read.
# ---- stage 9: open PR ----
PR creation with ticket linkage	plugins/dev-pipeline/skills/run/stages/9-open-pr.md	already-covered	Milestone 5 gates the externally-visible artifacts directly: an open, non-draft PR carrying `Closes #<issue>` (or `Closes [<KEY>]` under a `Jira Items` heading) and a link to the committed spec. Lean deliberately opens READY rather than draft — the committed verdict record, not draft status, is what carries review state.
cost block	plugins/dev-pipeline/skills/run/stages/9-open-pr.md, plugins/dev-pipeline/skills/run/pipeline-cost-block.sh, plugins/dev-pipeline/skills/run/cost-tracking-setup.md	already-covered	Checklist step 7 computes it once via `pipeline-cost-block.sh --stateless` and appends it to the PR description; step 9 repeats the same block in the closing comment. The `--stateless` mode is what removes the statectl state file from the path.
durable run report	plugins/dev-pipeline/skills/run/stages/9-open-pr.md	dropped	The gitignored <issue>-report.md and the mark-completed gate that required it have no lean counterpart. The operator now reads the run on the surfaces milestone 5 gates — the PR body and the closing comment — which is where a reviewer looks anyway; what is lost is the local artifact that survived a mid-response disconnect.
stale-branch freshness check	plugins/dev-pipeline/skills/run/stages/9-open-pr.md	dropped	No pre-push overlap check in the lean lane. Conflict detection is the code host's and CI's, and lean's resume guidance is to rebase when the base moved; the verdict's patch-id binding then tells the run whether the rebase cost a round (a replay does not, a conflict resolution does).
post-run eval and retro corpus record	plugins/dev-pipeline/skills/run/stages/9-open-pr.md, plugins/dev-pipeline/skills/run/eval-criteria.md	already-covered	tools/retro-corpus.sh already detects the lean artifact shape structurally (a verdict_record: header key) rather than by filename, so lean runs enter the corpus that pipeline-retro and perf-retro read. The statectl-shaped <issue>-eval.json and the mark-completed gate that required it belong to the state machine — see the stage-progression row.
# ---- stage 10: cleanup ----
worktree cleanup	plugins/dev-pipeline/skills/run/stages/10-cleanup.md, plugins/dev-pipeline/skills/run/tools/resolve-worktrees-dir.sh	already-covered	`lean-gate.sh teardown` destroys this run's worktree (never the branch) or says why it kept it, and `lean-gate.sh entry` sweeps lane worktrees whose PR is no longer open — covering the abandoned runs the staged Stage 10 never reached.
# ---- cross-stage ----
stage-progression state machine	plugins/dev-pipeline/skills/run/stages/1-intake.md, plugins/dev-pipeline/skills/run/stages/2-worktree.md, plugins/dev-pipeline/skills/run/stages/3-write-plan.md, plugins/dev-pipeline/skills/run/stages/4-plan-review.md, plugins/dev-pipeline/skills/run/stages/5-implement.md, plugins/dev-pipeline/skills/run/stages/6-verify.md, plugins/dev-pipeline/skills/run/stages/7-doc-update.md, plugins/dev-pipeline/skills/run/stages/8-code-review.md, plugins/dev-pipeline/skills/run/stages/9-open-pr.md, plugins/dev-pipeline/skills/run/stages/10-cleanup.md, plugins/dev-pipeline/skills/run/statectl.sh, plugins/dev-pipeline/skills/run/state-schema.md, plugins/dev-pipeline/skills/run/tools/stage-envelopes.sh, plugins/dev-pipeline/skills/run/tools/stage-times.sh	choreography	Dies with the stages by nature: set-stage started/completed writes, stage checkpoints, stage-file-read receipts, completion-evidence preconditions, the failureContext reason enum, crash-recovery resume, and the waiver acceptance flow that exists only because those preconditions can be forced. All of it exists to sequence stages. Lean's equivalent surface is the progress file, which records milestone verdicts rather than stage lifecycle.
per-stage tracker comment stream	plugins/dev-pipeline/skills/run/stages/1-intake.md, plugins/dev-pipeline/skills/run/stages/3-write-plan.md, plugins/dev-pipeline/skills/run/stages/4-plan-review.md, plugins/dev-pipeline/skills/run/stages/6-verify.md, plugins/dev-pipeline/skills/run/stages/7-doc-update.md, plugins/dev-pipeline/skills/run/stages/8-code-review.md, plugins/dev-pipeline/skills/run/stages/9-open-pr.md	choreography	Dies with the stages by nature: the stage:/status: marker comments and their comment-add receipts narrate stage progression, so there is nothing left to narrate. Lean makes exactly two tracker writes per clean run by design (the claim comment and the closing comment), and milestone 5 gates the closing one on referencing the verdict record.
