# path	total	nonblank	comments	ratio_tenths   (regenerate with: prose-budget.sh --update-baseline)
# ratio_tenths is comment lines / non-blank lines in tenths of a percent: 541 = 54.1%.
plugins/dev-pipeline/tools/stage-envelopes-selftest.sh	426	398	144	362
plugins/dev-pipeline/tools/stage-envelopes.sh	415	389	104	267
plugins/dev-pipeline/tools/stage-times.sh	134	128	50	391
plugins/dev-pipeline/tools/text-contract-selftest.sh	151	135	25	185
plugins/dev-pipeline/workflows/workflows-mjs-selftest.sh	56	51	23	451
plugins/intake-toolkit/skills/plan-interview/tools/dup-scan-selftest.sh	392	343	78	227
plugins/intake-toolkit/skills/plan-interview/tools/dup-scan.sh	405	365	113	310
plugins/intake-toolkit/skills/plan-interview/tools/ledger-lint-selftest.sh	539	481	135	281
plugins/intake-toolkit/skills/plan-interview/tools/ledger-lint.sh	410	384	140	365
plugins/second-shift/skills/doctor/tools/doctor-selftest.sh	304	296	137	463
plugins/second-shift/skills/doctor/tools/doctor.sh	444	423	133	314
plugins/second-shift/skills/doctor/tools/scope-shadows-selftest.sh	148	133	40	301
plugins/second-shift/skills/doctor/tools/scope-shadows.sh	88	82	39	476
plugins/second-shift/skills/onboard/tools/config-diff-guard-selftest.sh	329	304	75	247
plugins/second-shift/skills/onboard/tools/config-diff-guard.sh	175	169	84	497
plugins/second-shift/skills/onboard/tools/config-grill-selftest.sh	781	732	187	255
plugins/second-shift/skills/onboard/tools/config-grill.sh	482	464	182	392
plugins/second-shift/skills/onboard/tools/detect-selftest.sh	168	152	42	276
plugins/second-shift/skills/onboard/tools/detect.sh	256	244	70	287
plugins/second-shift/skills/onboard/tools/pin-resolve-selftest.sh	55	48	4	83
plugins/second-shift/skills/onboard/tools/pin-resolve.sh	37	34	11	324
plugins/second-shift/skills/onboard/tools/scaffold-review-context-selftest.sh	60	54	9	167
plugins/second-shift/skills/onboard/tools/scaffold-review-context.sh	111	104	34	327
tools/capability-parity-check-selftest.sh	207	178	50	281
tools/capability-parity-check.sh	169	152	72	474
tools/fixture-stamp.sh	64	61	41	672
tools/install-topology-selftest.sh	312	284	112	394
tools/mutation-sweep-selftest.sh	2048	1975	461	233
tools/mutation-sweep.sh	1912	1802	700	388
tools/prose-blockers-selftest.sh	329	281	48	171
tools/prose-blockers.sh	386	368	138	375
tools/reap-lean-fixtures-selftest.sh	320	281	86	306
tools/reap-lean-fixtures.sh	199	185	80	432
tools/run-selftests-selftest.sh	889	803	252	314
tools/run-selftests.sh	680	639	306	479
